Rank, City, State, 2018 estimate, 2010 Census,Change[%], 2016 land area[sq mi], 2016 land area[km*km], 2016 population density[/sq mi], 2016 population density[km*km], coordinates[lat° ' "N long° ' "W], coordinates[lat°N long°W], coordinates[lat long], Zip Codes
109, Fayetteville, North Carolina, 209468, 200564, +4.44%, 147.7, 382.5, 1386, 535, 35°04′58″N 78°58′25″W, 35.0828°N 78.9735°W, 35.0828 -78.9735, 28301  28302  28303  28304  28305  28306  28307 (Fort Bragg)  28308 (Pope AAF)  28309  28310 (Fort Bragg)  28311  28312  28314 28387 28374
110, Moreno Valley, California, 209050, 193365, +8.11%, 51.3, 132.9, 4006, 1547, 33°55′24″N 117°12′21″W, 33.9233°N 117.2057°W, 33.9233 -117.2057, 92551–92557
111, Rochester, New York, 206284, 210565, −2.03%, 35.8, 92.7, 5835, 2253, 43°10′12″N 77°37′01″W, 43.1699°N 77.6169°W, 43.1699 -77.6169, 146xx (14604=downtown)
112, Glendale, California, 201361, 191719, +5.03%, 30.4, 78.7, 6606, 2551, 34°10′53″N 118°14′45″W, 34.1814°N 118.2458°W, 34.1814 -118.2458, 91201–91210  91214  91221  91222  91224–91226
113, Huntington Beach, California, 200641, 189992, +5.60%, 26.9, 69.7, 7459, 2880, 33°41′26″N 118°00′33″W, 33.6906°N 118.0093°W, 33.6906 -118.0093, 92605  92615  92646–92649
114, Salt Lake City, Utah, 200591, 186440, +7.59%, 111.2, 288.0, 1742, 673, 40°46′37″N 111°55′52″W, 40.7769°N 111.9310°W, 40.7769 -111.9310, ZIP Codes  84101-84128  84130-84134  84136  84138-84139  84141  84143-84145  84147-84148  84150-84152  84157-84158  84165  84170-84171  84180  84184  84189-84190  84199
115, Grand Rapids, Michigan, 200217, 188040, +6.48%, 44.4, 115.0, 4424, 1708, 42°57′40″N 85°39′20″W, 42.9612°N 85.6556°W, 42.9612 -85.6556, 49501  49502  49503  49504  49505  49506  49507  49508  49510  49514  49515  49516  49518  49523  49525  49534  49546  49548  49555  49560  49588  49594
116, Amarillo, Texas, 199924, 190695, +4.84%, 101.4, 262.6, 1968, 760, 35°12′00″N 101°49′49″W, 35.1999°N 101.8302°W, 35.1999 -101.8302, 79101-79111  79114  79116-79121  79123-79124  79159  79163  79166-79168  79171-79172  79174  79178  79182  79185  79187  79189
117, Yonkers, New York, 199663, 195976, +1.88%, 18.0, 46.6, 11156, 4307, 40°56′45″N 73°52′03″W, 40.9459°N 73.8674°W, 40.9459 -73.8674, 10701  10702 (post office)  10703  10704  10705  10707 (shared with Tuckahoe  NY)  10708 (shared with Bronxville  NY)  10710
118, Aurora, Illinois, 199602, 197899, +0.86%, 44.9, 116.3, 4479, 1729, 41°45′49″N 88°17′24″W, 41.7635°N 88.2901°W, 41.7635 -88.2901, 60502–60507  60568  60569  60572  60598
119, Montgomery, Alabama, 198218, 205764, −3.67%, 159.8, 413.9, 1252, 483, 32°20′50″N 86°15′58″W, 32.3472°N 86.2661°W, 32.3472 -86.2661, 36013  36043  36064  36104  36105  36106  36107  36108  36109  36110  36111  36112  36113  36115  36116  36117
120, Akron, Ohio, 198006, 199110, −0.55%, 62.0, 160.6, 3188, 1231, 41°04′50″N 81°31′17″W, 41.0805°N 81.5214°W, 41.0805 -81.5214, 44301-44321  44325  44326  44328  44333  44334  44372  44396  44398
121, Little Rock, Arkansas, 197881, 193524, +2.25%, 118.7, 307.4, 1673, 646, 34°43′31″N 92°21′31″W, 34.7254°N 92.3586°W, 34.7254 -92.3586, 72002  72103  72201  72202  72204  72205  72206  72207  72209  72210  72211  72212  72223  72227
122, Huntsville, Alabama, 197318, 180105, +9.56%, 213.4, 552.7, 905, 349, 34°41′56″N 86°40′23″W, 34.6990°N 86.6730°W, 34.6990 -86.6730, 35649  35749  35748  35754  35756  35757  35671  35741  35762  35763  35773  35801–35816  35824  35893-35899
123, Augusta, Georgia, 196939, 195844, +0.56%, 302.5, 783.5, 652, 252, 33°21′56″N 82°04′24″W, 33.3655°N 82.0734°W, 33.3655 -82.0734, 30901  30904  30906  30907  30909  30912  30815
124, Port St. Lucie, Florida, 195248, 164603, +18.62%, 118.9, 307.9, 1557, 601, 27°16′50″N 80°23′18″W, 27.2806°N 80.3883°W, 27.2806 -80.3883, Port St. Lucie error: parse didn't find zip codes
125, Grand Prairie, Texas, 194614, 175396, +10.96%, 72.3, 187.3, 2637, 1018, 32°41′13″N 97°01′16″W, 32.6869°N 97.0211°W, 32.6869 -97.0211, 75050-75054
126, Columbus, Georgia, 194160, 189885, +2.25%, 216.4, 560.5, 913, 353, 32°30′37″N 84°52′30″W, 32.5102°N 84.8749°W, 32.5102 -84.8749, 31820  31829  31900-09  31914  31917  31993-94  31997-99
127, Tallahassee, Florida, 193551, 181376, +6.71%, 100.4, 260.0, 1901, 734, 30°27′18″N 84°15′12″W, 30.4551°N 84.2534°W, 30.4551 -84.2534, 32300–32399
128, Overland Park, Kansas, 192536, 173372, +11.05%, 75.1, 194.5, 2516, 971, 38°53′20″N 94°41′26″W, 38.8890°N 94.6906°W, 38.8890 -94.6906, Overland Park error: parse didn't find zip codes
129, Tempe, Arizona, 192364, 161719, +18.95%, 40.0, 103.6, 4562, 1761, 33°23′18″N 111°55′54″W, 33.3884°N 111.9318°W, 33.3884 -111.9318, 85281  85282  85283  85284  85285  85287
130, McKinney, Texas, 191645, 131117, +46.16%, 63.0, 163.2, 2735, 1056, 33°11′55″N 96°40′05″W, 33.1985°N 96.6680°W, 33.1985 -96.6680, 75069-75072
131, Mobile, Alabama, 189572, 195111, −2.84%, 139.4, 361.0, 1384, 534, 30°40′06″N 88°06′01″W, 30.6684°N 88.1002°W, 30.6684 -88.1002, Zip codes  36601-36612  36615-36619  36625  36628  36630  36633  36640-36641  36644  36652  36660  36663  36670-36671  36675  36685  36688-36689  36691  36693  36695
132, Cape Coral, Florida, 189343, 154305, +22.71%, 105.6, 273.5, 1703, 658, 26°38′36″N 81°59′51″W, 26.6432°N 81.9974°W, 26.6432 -81.9974, 33904  33909  33914  33990  33991  33993
133, Shreveport, Louisiana, 188987, 199311, −5.18%, 107.1, 277.4, 1820, 700, 32°28′01″N 93°47′32″W, 32.4669°N 93.7922°W, 32.4669 -93.7922, Shreveport error: parse didn't find zip codes
134, Frisco, Texas, 188170, 116989, +60.84%, 67.7, 175.3, 2417, 933, 33°09′19″N 96°49′21″W, 33.1554°N 96.8226°W, 33.1554 -96.8226, 75033-75036  75068  75071
135, Knoxville, Tennessee, 187500, 178874, +4.82%, 98.5, 255.1, 1891, 730, 35°58′15″N 83°56′57″W, 35.9707°N 83.9493°W, 35.9707 -83.9493, 37901-37902  37909  37912  37914-37924  37927-37934  37938-37940  37950  37995-37998
136, Worcester, Massachusetts, 185877, 181045, +2.67%, 37.4, 96.9, 4933, 1905, 42°16′10″N 71°48′28″W, 42.2695°N 71.8078°W, 42.2695 -71.8078, 01601–01610  01612–01615  01653–01655
137, Brownsville, Texas, 183392, 175023, +4.78%, 132.5, 343.2, 1387, 536, 25°59′57″N 97°27′18″W, 25.9991°N 97.4550°W, 25.9991 -97.4550, 78520  78521  78522  78523  78526
138, Vancouver, Washington, 183012, 161791, +13.12%, 46.9, 121.5, 3728, 1439, 45°38′06″N 122°35′45″W, 45.6349°N 122.5957°W, 45.6349 -122.5957, Vancouver error: parse didn't find zip codes
139, Fort Lauderdale, Florida, 182595, 165521, +10.32%, 34.6, 89.6, 5166, 1995, 26°08′28″N 80°08′48″W, 26.1412°N 80.1467°W, 26.1412 -80.1467, 33301  33304-33306  33308-33309  33312-33313  33315-33316  33334  33394
140, Sioux Falls, South Dakota, 181883, 153888, +18.19%, 75.4, 195.3, 2312, 893, 43°32′18″N 96°43′55″W, 43.5383°N 96.7320°W, 43.5383 -96.7320, Zip codes  57101  57103-57110  57117-57118  57186  57188-57189  57192-57193  57197-57198
141, Ontario, California, 181107, 163924, +10.48%, 49.9, 129.2, 3471, 1340, 34°02′22″N 117°36′15″W, 34.0394°N 117.6042°W, 34.0394 -117.6042, 91758  91761  91762  91764
142, Chattanooga, Tennessee, 180557, 167674, +7.68%, 143.1, 370.6, 1241, 479, 35°03′58″N 85°14′54″W, 35.0660°N 85.2484°W, 35.0660 -85.2484, 37341  37343  37350  37351  37363  37377  37379  37402  37403  37404  37405  37406  37407  37408  37409  37410  37411  37412  37415  37416  37419  and 37421
143, Providence, Rhode Island, 179335, 178042, +0.73%, 18.4, 47.7, 9740, 3760, 41°49′23″N 71°25′08″W, 41.8231°N 71.4188°W, 41.8231 -71.4188, 02901–02912  02918  02919  02940
144, Newport News, Virginia, 178626, 180719, −1.16%, 69.1, 179.0, 2631, 1016, 37°04′34″N 76°31′19″W, 37.0762°N 76.5220°W, 37.0762 -76.5220, 23601-23609
145, Rancho Cucamonga, California, 177751, 165269, +7.55%, 40.0, 103.6, 4413, 1704, 34°07′24″N 117°33′51″W, 34.1233°N 117.5642°W, 34.1233 -117.5642, 91701  91729  91730  91737  91739
146, Santa Rosa, California, 177586, 167815, +5.82%, 41.3, 107.0, 4241, 1637, 38°26′48″N 122°42′22″W, 38.4468°N 122.7061°W, 38.4468 -122.7061, 95401–95407  95409
147, Oceanside, California, 176080, 167086, +5.38%, 41.3, 107.0, 4249, 1641, 33°13′28″N 117°18′22″W, 33.2245°N 117.3062°W, 33.2245 -117.3062, 92049  92051  92052  92054  92056–92058
148, Salem, Oregon, 173442, 154637, +12.16%, 48.6, 125.9, 3445, 1330, 44°55′25″N 123°01′24″W, 44.9237°N 123.0232°W, 44.9237 -123.0232, 97301  97302  97303  97304  97305  97306  97308  97309  97310  97311  97312  97313 & 97314
149, Elk Grove, California, 172886, 153015, +12.99%, 42.2, 109.3, 4022, 1553, 38°24′53″N 121°23′06″W, 38.4146°N 121.3850°W, 38.4146 -121.3850, 95624  95757–95759
150, Garden Grove, California, 172646, 170883, +1.03%, 18.0, 46.6, 9714, 3751, 33°46′44″N 117°57′38″W, 33.7788°N 117.9605°W, 33.7788 -117.9605, 92840–92846
151, Pembroke Pines, Florida, 172374, 154019, +11.92%, 33.0, 85.5, 5109, 1973, 26°01′16″N 80°20′25″W, 26.0210°N 80.3404°W, 26.0210 -80.3404, 33023-33029  33330-33332
152, Peoria, Arizona, 172259, 154065, +11.81%, 175.7, 455.1, 934, 361, 33°47′10″N 112°18′29″W, 33.7862°N 112.3080°W, 33.7862 -112.3080, 85345  85381  85382  8538385373 (Sun City)85387 (Morristown)
153, Eugene, Oregon, 171245, 156185, +9.64%, 44.1, 114.2, 3777, 1458, 44°03′24″N 123°06′58″W, 44.0567°N 123.1162°W, 44.0567 -123.1162, 97401–97405  97408  97440
154, Corona, California, 168819, 152374, +10.79%, 39.5, 102.3, 4222, 1630, 33°51′43″N 117°33′56″W, 33.8620°N 117.5655°W, 33.8620 -117.5655, 92877–92883
155, Cary, North Carolina, 168160, 135234, +24.35%, 56.5, 146.3, 2873, 1109, 35°46′51″N 78°48′48″W, 35.7809°N 78.8133°W, 35.7809 -78.8133, 27511-27513  27518  27519
156, Springfield, Missouri, 168122, 159498, +5.41%, 82.3, 213.2, 2033, 785, 37°11′39″N 93°17′29″W, 37.1942°N 93.2913°W, 37.1942 -93.2913, 65800-65899
157, Fort Collins, Colorado, 167830, 143986, +16.56%, 55.8, 144.5, 2943, 1136, 40°32′54″N 105°03′53″W, 40.5482°N 105.0648°W, 40.5482 -105.0648, 80521–80528
158, Jackson, Mississippi, 164422, 173514, −5.24%, 111.0, 287.5, 1524, 588, 32°18′57″N 90°12′46″W, 32.3158°N 90.2128°W, 32.3158 -90.2128, 39200-39299
159, Alexandria, Virginia, 160530, 139966, +14.69%, 15.0, 38.8, 10387, 4010, 38°49′12″N 77°05′03″W, 38.8201°N 77.0841°W, 38.8201 -77.0841, 22301 to 22315  22320 to 22336
160, Hayward, California, 159620, 144186, +10.70%, 45.5, 117.8, 3493, 1349, 37°37′43″N 122°06′09″W, 37.6287°N 122.1024°W, 37.6287 -122.1024, 94540–94546  94552  94557
161, Lancaster, California, 159053, 156633, +1.55%, 94.3, 244.2, 1698, 656, 34°41′37″N 118°10′31″W, 34.6936°N 118.1753°W, 34.6936 -118.1753, 93534–93536  93539  93584
162, Lakewood, Colorado, 156798, 142980, +9.66%, 42.9, 111.1, 3599, 1390, 39°41′56″N 105°07′03″W, 39.6989°N 105.1176°W, 39.6989 -105.1176, Denver 80214-80215  80227  80226-80228  80232  80235-80236Golden 80401Littleton 80123
163, Clarksville, Tennessee, 156794, 132929, +17.95%, 98.3, 254.6, 1529, 590, 36°33′59″N 87°20′43″W, 36.5664°N 87.3452°W, 36.5664 -87.3452, 37040-37044
164, Palmdale, California, 156667, 152750, +2.56%, 106.0, 274.5, 1484, 573, 34°35′28″N 118°06′19″W, 34.5910°N 118.1054°W, 34.5910 -118.1054, 93550–93552  93590  93591  93599
165, Salinas, California, 156259, 150441, +3.87%, 23.6, 61.1, 6662, 2572, 36°41′25″N 121°38′01″W, 36.6902°N 121.6337°W, 36.6902 -121.6337, 93901–93902  93905–93907  93912  and 93915
166, Springfield, Massachusetts, 155032, 153060, +1.29%, 31.9, 82.6, 4830, 1860, 42°06′56″N 72°32′24″W, 42.1155°N 72.5400°W, 42.1155 -72.5400, 01101  01103–01105  01107–01109  01118-01119  01128–01129  01151
167, Hollywood, Florida, 154823, 140768, +9.98%, 27.3, 70.7, 5568, 2150, 26°01′52″N 80°09′53″W, 26.0310°N 80.1646°W, 26.0310 -80.1646, 33004  33009  33019-33021  33023  33024  33312  33314  33316
168, Pasadena, Texas, 153219, 149043, +2.80%, 43.5, 112.7, 3525, 1361, 29°39′31″N 95°09′02″W, 29.6586°N 95.1506°W, 29.6586 -95.1506, 77501-77507  77059  77586
169, Sunnyvale, California, 153185, 140081, +9.35%, 22.0, 57.0, 6944, 2681, 37°23′09″N 122°01′35″W, 37.3858°N 122.0263°W, 37.3858 -122.0263, 94085–94090
170, Macon, Georgia, 153095, 91351, +67.59%, 249.3, 645.7, 612, 236, 32°48′32″N 83°41′39″W, 32.8088°N 83.6942°W, 32.8088 -83.6942, 31200–31299
171, Kansas City, Kansas, 152958, 145786, +4.92%, 124.8, 323.2, 1216, 470, 39°07′21″N 94°44′30″W, 39.1225°N 94.7418°W, 39.1225 -94.7418, 66101-66113  66115  66117-66119  66160
172, Pomona, California, 152361, 149058, +2.22%, 23.0, 59.6, 6630, 2560, 34°03′31″N 117°45′40″W, 34.0585°N 117.7611°W, 34.0585 -117.7611, 91766–91768
173, Escondido, California, 152213, 143911, +5.77%, 37.1, 96.1, 4087, 1578, 33°07′59″N 117°04′26″W, 33.1331°N 117.0740°W, 33.1331 -117.0740, 92025–92027  92029
174, Killeen, Texas, 149103, 127921, +16.56%, 53.5, 138.6, 2680, 1030, 31°04′40″N 97°43′55″W, 31.0777°N 97.7320°W, 31.0777 -97.7320, 76540  76541  76542  76543  76548  76549
175, Naperville, Illinois, 148304, 141853, +4.55%, 38.7, 100.2, 3802, 1468, 41°44′57″N 88°09′43″W, 41.7492°N 88.1620°W, 41.7492 -88.1620, Naperville error: parse didn't find zip codes
176, Joliet, Illinois, 148099, 147433, +0.45%, 64.4, 166.8, 2302, 889, 41°31′04″N 88°08′56″W, 41.5177°N 88.1488°W, 41.5177 -88.1488, 60431  60432  60433  60434  60435  60436  60586
177, Bellevue, Washington, 147599, 122363, +20.62%, 33.5, 86.8, 4221, 1630, 47°35′52″N 122°09′23″W, 47.5979°N 122.1565°W, 47.5979 -122.1565, 98004-98009
178, Rockford, Illinois, 146526, 152871, −4.15%, 63.5, 164.5, 2325, 898, 42°15′32″N 89°03′53″W, 42.2588°N 89.0646°W, 42.2588 -89.0646, 61101-61110  61112  61114  61125  61126
179, Savannah, Georgia, 145862, 136286, +7.03%, 103.6, 268.3, 1417, 547, 32°00′09″N 81°09′13″W, 32.0025°N 81.1536°W, 32.0025 -81.1536, 31401-31499
180, Paterson, New Jersey, 145627, 146199, −0.39%, 8.4, 21.8, 17500, 6800, 40°54′53″N 74°09′46″W, 40.9148°N 74.1628°W, 40.9148 -74.1628, 07501-07505  07508-07514  07522  07524  07533  07538  07543  07544
181, Torrance, California, 145182, 145438, −0.18%, 20.5, 53.1, 7180, 2770, 33°50′06″N 118°20′29″W, 33.8350°N 118.3414°W, 33.8350 -118.3414, 90501–90510
182, Bridgeport, Connecticut, 144900, 144229, +0.47%, 16.1, 41.7, 9064, 3500, 41°11′15″N 73°11′45″W, 41.1874°N 73.1958°W, 41.1874 -73.1958, 06601  06602  06604  06605  06606  06607  06608  06610  06650  06673  06699
183, McAllen, Texas, 143433, 129877, +10.44%, 58.4, 151.3, 2435, 940, 26°13′56″N 98°14′47″W, 26.2322°N 98.2464°W, 26.2322 -98.2464, 78501-78504
184, Mesquite, Texas, 142816, 139824, +2.14%, 47.2, 122.2, 3045, 1176, 32°45′46″N 96°35′20″W, 32.7629°N 96.5888°W, 32.7629 -96.5888, 75149  75150  75181
185, Syracuse, New York, 142749, 145170, −1.67%, 25.0, 64.7, 5735, 2214, 43°02′28″N 76°08′37″W, 43.0410°N 76.1436°W, 43.0410 -76.1436, Syracuse error: parse didn't find zip codes
186, Midland, Texas, 142344, 111147, +28.07%, 74.4, 192.7, 1809, 698, 32°01′29″N 102°06′49″W, 32.0246°N 102.1135°W, 32.0246 -102.1135, 79701-12
187, Pasadena, California, 141371, 137122, +3.10%, 23.0, 59.6, 6176, 2385, 34°09′38″N 118°08′23″W, 34.1606°N 118.1396°W, 34.1606 -118.1396, 91101–91110  91114–91118  91121  91123–91126  91129  91182  91184  91185  91188  91189  91199
188, Murfreesboro, Tennessee, 141344, 108755, +29.97%, 55.9, 144.8, 2360, 910, 35°51′08″N 86°24′58″W, 35.8522°N 86.4160°W, 35.8522 -86.4160, 37127-37133
189, Miramar, Florida, 140823, 122041, +15.39%, 29.4, 76.1, 4709, 1818, 25°58′37″N 80°20′09″W, 25.9770°N 80.3358°W, 25.9770 -80.3358, 33023  33025  33027  33029
190, Dayton, Ohio, 140640, 141527, −0.63%, 55.7, 144.3, 2522, 974, 39°46′39″N 84°11′59″W, 39.7774°N 84.1996°W, 39.7774 -84.1996, ZIP codes  45400-45406  45408-45410  45412-45420  45422-45424  45426-45435  45437  45439-45441  45448-45449  45454  45458-45459  45469-45470  45475  45479  45481-45482  45490
191, Fullerton, California, 139640, 135161, +3.31%, 22.4, 58.0, 6282, 2425, 33°53′09″N 117°55′41″W, 33.8857°N 117.9280°W, 33.8857 -117.9280, 92831-92832
192, Olathe, Kansas, 139605, 125872, +10.91%, 60.9, 157.7, 2225, 859, 38°53′03″N 94°49′10″W, 38.8843°N 94.8195°W, 38.8843 -94.8195, 66051 66061 66062 66063
193, Orange, California, 139484, 136416, +2.25%, 25.4, 65.8, 5532, 2136, 33°47′13″N 117°51′41″W, 33.7870°N 117.8613°W, 33.7870 -117.8613, 92856–92869
194, Thornton, Colorado, 139436, 118772, +17.40%, 35.7, 92.5, 3829, 1478, 39°55′10″N 104°56′34″W, 39.9194°N 104.9428°W, 39.9194 -104.9428, Denver 80221  80229  80233  80241  80260Brighton 80602
195, Roseville, California, 139117, 118788, +17.11%, 43.0, 111.4, 3085, 1191, 38°46′08″N 121°19′08″W, 38.7690°N 121.3189°W, 38.7690 -121.3189, 95678  95661  95747
196, Denton, Texas, 138541, 113383, +22.19%, 93.4, 241.9, 1433, 553, 33°13′00″N 97°08′29″W, 33.2166°N 97.1414°W, 33.2166 -97.1414, 76201–76210
197, Waco, Texas, 138183, 124805, +10.72%, 89.0, 230.5, 1510, 580, 31°33′36″N 97°11′10″W, 31.5601°N 97.1860°W, 31.5601 -97.1860, 76700-76799
198, Surprise, Arizona, 138161, 117517, +17.57%, 107.9, 279.5, 1230, 470, 33°40′14″N 112°27′10″W, 33.6706°N 112.4527°W, 33.6706 -112.4527, 85374  85378-85379  85387-85388
199, Carrollton, Texas, 136879, 119097, +14.93%, 36.3, 94.0, 3674, 1419, 32°59′18″N 96°53′59″W, 32.9884°N 96.8998°W, 32.9884 -96.8998, 75006  75007  75010  75011
200, West Valley City, Utah, 136401, 129480, +5.35%, 35.5, 91.9, 3847, 1485, 40°41′19″N 112°00′42″W, 40.6885°N 112.0118°W, 40.6885 -112.0118, West Valley City error: parse didn't find zip codes
201, Charleston, South Carolina, 136208, 120083, +13.43%, 109.0, 282.3, 1233, 476, 32°49′04″N 79°57′32″W, 32.8179°N 79.9590°W, 32.8179 -79.9590, 29401  29403  29405  29407  29409  29412  29414  29424  29425  29455  29492
202, Warren, Michigan, 134587, 134056, +0.40%, 34.4, 89.1, 3928, 1517, 42°29′34″N 83°01′30″W, 42.4929°N 83.0250°W, 42.4929 -83.0250, 48088  48089  48090  48091  48092  48093  48397
203, Hampton, Virginia, 134313, 137436, −2.27%, 51.5, 133.4, 2629, 1015, 37°02′53″N 76°17′50″W, 37.0480°N 76.2971°W, 37.0480 -76.2971, Hampton error: parse didn't find zip codes
204, Gainesville, Florida, 133857, 124354, +7.64%, 62.3, 161.4, 2112, 815, 29°40′44″N 82°20′46″W, 29.6788°N 82.3461°W, 29.6788 -82.3461, 32601–32614  32627  32635  32641  32653
205, Visalia, California, 133800, 124442, +7.52%, 37.5, 97.1, 3495, 1349, 36°19′38″N 119°19′44″W, 36.3273°N 119.3289°W, 36.3273 -119.3289, 93277-93279  93290-93292
206, Coral Springs, Florida, 133507, 121096, +10.25%, 23.8, 61.6, 5465, 2110, 26°16′15″N 80°15′33″W, 26.2707°N 80.2593°W, 26.2707 -80.2593, 33065  33067  33071  33073  33075  33076  33077
207, Columbia, South Carolina, 133451, 129272, +3.23%, 133.5, 345.8, 1006, 388, 34°01′45″N 80°53′53″W, 34.0291°N 80.8980°W, 34.0291 -80.8980, 29201  29203-6  29209-10  29212  29223  29225  29229
208, Cedar Rapids, Iowa, 133174, 126326, +5.42%, 70.8, 183.4, 1852, 715, 41°58′01″N 91°40′40″W, 41.9670°N 91.6778°W, 41.9670 -91.6778, 52227  52228  52233  52324  52338  52401-11  52497-99
209, Sterling Heights, Michigan, 132964, 129699, +2.52%, 36.5, 94.5, 3628, 1401, 42°34′52″N 83°01′49″W, 42.5812°N 83.0303°W, 42.5812 -83.0303, 48310  48311  48312  48313  48314
210, New Haven, Connecticut, 130418, 129779, +0.49%, 18.7, 48.4, 6948, 2683, 41°18′39″N 72°55′30″W, 41.3108°N 72.9250°W, 41.3108 -72.9250, 06501–06540
211, Stamford, Connecticut, 129775, 122643, +5.82%, 37.6, 97.4, 3434, 1326, 41°04′48″N 73°32′46″W, 41.0799°N 73.5460°W, 41.0799 -73.5460, 069xx
212, Concord, California, 129688, 122067, +6.24%, 30.5, 79.0, 4221, 1630, 37°58′20″N 122°00′06″W, 37.9722°N 122.0016°W, 37.9722 -122.0016, 94518–94521
213, Kent, Washington, 129618, 92411, +40.26%, 33.7, 87.3, 3784, 1461, 47°23′17″N 122°12′46″W, 47.3880°N 122.2127°W, 47.3880 -122.2127, 98030  98031  98032  98035  98042  98064  98089
214, Santa Clara, California, 129488, 116468, +11.18%, 18.4, 47.7, 6845, 2643, 37°21′53″N 121°58′04″W, 37.3646°N 121.9679°W, 37.3646 -121.9679, 95050 95051 95054
215, Elizabeth, New Jersey, 128885, 124969, +3.13%, 12.3, 31.9, 10459, 4038, 40°39′59″N 74°11′37″W, 40.6664°N 74.1935°W, 40.6664 -74.1935, 07201 – Union Square station07202 – Bayway station07206 – Elizabethport station07207 – P.O. Boxes07208 – Elmora station
216, Round Rock, Texas, 128739, 99887, +28.88%, 35.6, 92.2, 3396, 1311, 30°31′31″N 97°39′58″W, 30.5252°N 97.6660°W, 30.5252 -97.6660, 78664  78665  78680—78683
217, Thousand Oaks, California, 127690, 126683, +0.79%, 55.2, 143.0, 2335, 902, 34°11′36″N 118°52′27″W, 34.1933°N 118.8742°W, 34.1933 -118.8742, 91359  91320  91360–91362
218, Lafayette, Louisiana, 126143, 120623, +4.58%, 53.8, 139.3, 2372, 916, 30°12′27″N 92°01′43″W, 30.2074°N 92.0285°W, 30.2074 -92.0285, 70501–9  70593  70596  70598
219, Athens, Georgia, 125964, 115452, +9.11%, 116.4, 301.5, 1060, 410, 33°56′59″N 83°22′12″W, 33.9496°N 83.3701°W, 33.9496 -83.3701, 30601  30602  30603  30604  30605  30606  30607  30608  30609  30612
220, Topeka, Kansas, 125904, 127473, −1.23%, 61.5, 159.3, 2062, 796, 39°02′05″N 95°41′46″W, 39.0347°N 95.6962°W, 39.0347 -95.6962, 66601-66612  66614-66622  66624-66626  66628-66629  66636-66637  66642  66647  66652-66653  66667  66675  66683  66692  66699
221, Simi Valley, California, 125851, 124237, +1.30%, 41.5, 107.5, 3044, 1175, 34°16′01″N 118°44′55″W, 34.2669°N 118.7485°W, 34.2669 -118.7485, 93062–93065  93093–93094  93099
222, Fargo, North Dakota, 124844, 105549, +18.28%, 49.3, 127.7, 2450, 950, 46°51′55″N 96°49′44″W, 46.8652°N 96.8290°W, 46.8652 -96.8290, 58102-58109  58121-58122  58124-58126
223, Norman, Oklahoma, 123471, 110925, +11.31%, 178.8, 463.1, 683, 264, 35°14′26″N 97°20′43″W, 35.2406°N 97.3453°W, 35.2406 -97.3453, Norman error: parse didn't find zip codes
224, Columbia, Missouri, 123180, 108500, +13.53%, 65.0, 168.3, 1856, 717, 38°57′06″N 92°19′43″W, 38.951561°N 92.328638°W, 38.951561 -92.328638, 65201  65202  65203  65211
225, Abilene, Texas, 122999, 117063, +5.07%, 106.7, 276.4, 1146, 442, 32°27′16″N 99°44′17″W, 32.4545°N 99.7381°W, 32.4545 -99.7381, 79601-08 79697-99
226, Wilmington, North Carolina, 122607, 106476, +15.15%, 51.6, 133.6, 2278, 880, 34°12′33″N 77°53′09″W, 34.2092°N 77.8858°W, 34.2092 -77.8858, 28401-28412
227, Hartford, Connecticut, 122587, 124775, −1.75%, 17.4, 45.1, 7083, 2735, 41°45′57″N 72°40′54″W, 41.7659°N 72.6816°W, 41.7659 -72.6816, 061xx
228, Victorville, California, 122312, 115903, +5.53%, 73.3, 189.8, 1668, 644, 34°31′40″N 117°21′13″W, 34.5277°N 117.3536°W, 34.5277 -117.3536, 92392–92395
229, Pearland, Texas, 122149, 91252, +33.86%, 46.3, 119.9, 2453, 947, 29°33′21″N 95°19′23″W, 29.5558°N 95.3231°W, 29.5558 -95.3231, 77581  77584  77588
230, Vallejo, California, 121913, 115942, +5.15%, 30.7, 79.5, 3951, 1525, 38°06′28″N 122°15′50″W, 38.1079°N 122.2640°W, 38.1079 -122.2640, 94589  94590  94591  94592
231, Ann Arbor, Michigan, 121890, 113934, +6.98%, 28.1, 72.8, 4298, 1659, 42°16′34″N 83°43′51″W, 42.2761°N 83.7309°W, 42.2761 -83.7309, 48103  48104  48105  48106  48107  48108  48109  48113
232, Berkeley, California, 121643, 112580, +8.05%, 10.5, 27.2, 11547, 4458, 37°52′01″N 122°17′57″W, 37.8670°N 122.2991°W, 37.8670 -122.2991, 94701–94710  94712  94720
233, Allentown, Pennsylvania, 121433, 118032, +2.88%, 17.5, 45.3, 6882, 2657, 40°35′37″N 75°28′42″W, 40.5936°N 75.4784°W, 40.5936 -75.4784, 18101  18102  18103  18104  18105  18106  18109  18175  18195
234, Richardson, Texas, 120981, 99223, +21.93%, 28.6, 74.1, 3963, 1530, 32°58′20″N 96°42′29″W, 32.9723°N 96.7081°W, 32.9723 -96.7081, 75080-75083  75085
235, Odessa, Texas, 120568, 99940, +20.64%, 45.2, 117.1, 2608, 1007, 31°53′02″N 102°20′28″W, 31.8838°N 102.3411°W, 31.8838 -102.3411, 79760-69
